year,Italy,Spain,Germany,France,Switzerland,Slovenia,Belgium,United Kingdom,Ireland,Netherlands,Croatia,Serbia,Portugal,Austria,Greece
1948,13.203916666666666,14.487250000000001,9.042416666666666,13.331583333333334,7.766166666666667,10.15525,10.238666666666665,9.08,10.074250000000001,10.337583333333333,11.776416666666668,10.270833333333334,15.761416666666667,6.874833333333334,14.637500000000001
1949,13.354666666666667,14.510083333333334,9.176499999999999,13.696,7.995833333333334,10.285750000000002,10.454583333333334,9.581916666666666,10.576583333333334,10.490083333333333,11.808583333333333,10.0985,15.758666666666668,6.962833333333333,14.381749999999998
1950,13.712583333333335,14.23925,8.653416666666667,13.23325,7.730916666666666,10.637916666666667,9.829166666666666,8.619166666666667,9.461833333333333,9.853333333333333,12.430083333333334,11.216416666666667,15.066083333333333,7.03575,15.639000000000001
1951,13.344499999999998,13.347083333333332,8.816416666666667,12.947083333333333,7.400333333333333,10.677916666666667,9.915083333333333,8.439,9.229750000000001,9.962083333333334,12.481,11.270999999999999,14.469416666666667,7.079833333333333,15.572250000000002
1952,13.261249999999999,13.794666666666666,8.006833333333333,13.088916666666668,7.1410833333333334,9.925333333333333,9.495083333333334,8.37125,9.37725,9.343083333333334,11.887583333333332,10.98625,14.772,6.195333333333334,15.86425
1953,13.041333333333332,13.89325,9.067,13.143666666666666,7.551583333333333,9.976416666666667,10.102333333333334,9.206083333333334,10.019583333333333,10.231416666666666,11.615166666666667,10.084750000000001,15.274583333333332,6.788916666666666,14.530666666666667
1954,12.447916666666666,13.429666666666668,7.788833333333334,12.618416666666668,6.662916666666667,9.107750000000001,9.273583333333333,8.456583333333333,9.438,9.334916666666667,10.823333333333332,9.41125,14.59575,5.7045,14.775416666666667
1955,13.030916666666668,14.5375,7.684083333333334,13.038333333333334,6.9623333333333335,9.462,9.211166666666667,8.569583333333332,9.629583333333334,9.218,11.307833333333333,10.234416666666666,15.725583333333333,5.8694999999999995,15.4425
1956,12.060833333333333,12.670499999999999,6.9695,12.063749999999999,5.968583333333334,8.7005,8.518416666666665,8.266083333333333,9.405166666666666,8.542499999999999,10.419333333333332,9.0815,13.852916666666665,5.194999999999999,14.42225
1957,13.048250000000001,13.536666666666667,8.686083333333334,13.101999999999999,7.360583333333334,9.999,10.114749999999999,9.177833333333334,10.062083333333334,10.2105,11.697583333333334,10.485999999999999,14.721666666666666,6.695,15.042583333333333
1958,13.152000000000001,14.019083333333333,8.325833333333334,13.083166666666665,7.329583333333333,10.188416666666667,9.709333333333333,8.606416666666666,9.699833333333332,9.763083333333334,11.91675,10.701833333333333,14.904416666666668,6.5685,15.37025
1959,13.089416666666667,13.981499999999999,9.18275,13.67525,7.9195,10.11925,10.694083333333333,9.511833333333334,10.412916666666666,10.56525,11.656999999999998,9.920499999999999,15.044166666666667,6.84875,14.407416666666668
1960,13.072833333333334,13.7815,8.514166666666666,13.027666666666667,7.2132499999999995,10.045583333333335,9.98875,8.91975,9.673416666666666,10.024666666666667,11.842999999999998,10.634833333333335,14.822000000000001,6.527083333333334,15.506083333333335
1961,13.570583333333333,14.636083333333334,9.124166666666666,13.701833333333333,8.158,10.515583333333334,10.435833333333333,9.001666666666667,9.811083333333334,10.326833333333333,12.191666666666668,10.804166666666667,15.700166666666666,7.185583333333334,15.348333333333334
1962,12.658000000000001,13.812583333333334,7.324916666666667,12.414333333333333,6.487416666666667,8.927833333333334,8.541500000000001,7.994,9.064416666666668,8.564,10.838083333333332,9.990833333333335,14.931,5.441,15.454416666666667
1963,12.604583333333332,13.395249999999999,7.2205,12.072833333333334,6.317083333333334,9.277166666666668,8.259666666666666,7.79075,8.78825,8.263166666666667,11.05025,9.99875,14.624583333333334,5.650916666666666,15.323083333333335
1964,12.991333333333332,14.064749999999998,8.236333333333333,12.990416666666667,7.392,9.514166666666666,9.594166666666666,8.679166666666667,9.751,9.553166666666668,11.072416666666667,9.692666666666666,15.1195,6.203333333333333,14.645249999999999
1965,12.455583333333331,13.654916666666667,7.633,12.501833333333332,6.465583333333334,9.154333333333332,9.040416666666667,8.1545,9.068916666666667,9.111583333333334,10.923083333333333,9.712166666666667,14.717666666666666,5.637083333333333,14.616166666666667
